ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
1001,17312,36,34,51,37,74,35,17,10,-0.43084496,0.085101269,0.126561,0.076442704,0.20745921,0.086469717,0.2704708,0.008363686
1002,30014,72,91,78,15,79,82,33,83,0.63324773,0.25962469,0.1809237,0.04243372,0.36542284,0.096856505,0.50989997,0.014798938
1003,11357,76,100,1,90,1,100,1,100,0.78632873,0.80232561,0,0.23809524,0.66449398,0,0.90476191,0
1005,5128,14,34,6,17,33,8,34,42,-1.1681253,0.08560545,0.048270315,0.045957919,0.26864406,0.038580246,0.1388889,0.014917696
1007,15005,14,19,18,18,47,16,22,4,-1.175958,0.060762376,0.075582825,0.047872864,0.18352398,0.051231351,0.18551141,0.01024627
1008,1140,8,9,3,51,2,1,32,11,-1.435065,0.042105265,0.033613447,0.098792538,0.20987654,0.006122449,0.048979592,0.014285714
1009,261,49,91,1,22,79,33,1,58,-0.051408917,0.25670499,0,0.053658538,0.29646018,0.096491225,0.2631579,0
1010,3658,17,18,54,14,10,5,40,70,-1.0511626,0.057835307,0.13197969,0.041729324,0.32380113,0.018659296,0.11955771,0.017277125
1011,1430,28,41,37,47,35,18,1,23,-0.66241246,0.096956827,0.10594315,0.092421442,0.23516949,0.040780142,0.19680852,0
1012,585,17,27,37,45,7,6,1,4,-1.0609841,0.073504277,0.10526316,0.087866105,0.18181819,0.014705882,0.12132353,0
1013,22733,87,79,94,78,90,82,51,63,1.1632828,0.1918373,0.25733677,0.16983895,0.30873242,0.15765864,0.5085339,0.022757111
1020,30108,51,38,59,63,75,56,10,34,0.017398134,0.092833057,0.14059156,0.12557283,0.25460157,0.087591812,0.35247695,0.005157056
1022,2586,62,84,85,13,59,54,20,99,0.32931787,0.21113689,0.200883,0.040072858,0.53247589,0.064124785,0.34488735,0.009532062
1026,933,25,41,65,5,65,22,1,42,-0.77924615,0.096774191,0.15163934,0.024926687,0.2682927,0.071428575,0.21875,0
1027,17818,32,35,34,11,51,59,12,19,-0.55667704,0.086312711,0.10010882,0.036441892,0.2293158,0.055373359,0.36377397,0.006306761
1028,16242,17,12,40,27,60,13,24,33,-1.0660908,0.047462553,0.11012476,0.061210215,0.25263047,0.064954683,0.17354818,0.011077543
1029,538,28,12,41,67,1,27,77,1,-0.68988121,0.048327137,0.11111111,0.13665944,0.1462141,0,0.2394958,0.046218488
1030,11384,16,26,28,20,64,17,7,17,-1.083822,0.070842527,0.091417298,0.051402431,0.22390257,0.069746375,0.19497283,0.003849638
1031,1135,72,79,52,48,85,81,60,55,0.64626914,0.19383261,0.12800001,0.095011875,0.29216468,0.11731844,0.49906892,0.027932961
1032,495,5,30,1,1,9,3,1,19,-1.563603,0.078787878,0.007042253,0.007462686,0.22922637,0.017094018,0.094017096,0
1033,6322,10,7,30,25,27,7,13,2,-1.3280413,0.037646316,0.09500543,0.057797395,0.1606635,0.033807147,0.12908183,0.006530926
1034,2186,11,36,2,19,7,2,1,31,-1.2944156,0.087800369,0.030351438,0.04978488,0.24982156,0.015204678,0.073684208,0
1035,5319,18,23,58,10,68,22,5,34,-1.0174068,0.067154124,0.13788487,0.035066504,0.25402614,0.075850047,0.21621622,0.002179599
1036,5178,10,2,14,29,53,3,1,18,-1.3155289,0.02559559,0.067980967,0.063957863,0.22534767,0.057,0.086499996,0
1037,747,8,33,46,1,1,8,1,93,-1.4280128,0.08372093,0.11888112,0,0.42332613,0,0.13865547,0
1038,2734,15,10,33,3,65,36,38,9,-1.1361352,0.044623263,0.09987516,0.019617224,0.20421299,0.071311474,0.27459016,0.016393442
1039,1207,6,7,2,12,28,34,1,3,-1.5271316,0.038939521,0.029069768,0.037810944,0.17560975,0.034990791,0.26703498,0
1040,40241,96,95,97,85,94,90,66,90,1.5713216,0.29338345,0.29811078,0.20588344,0.39913183,0.21966226,0.59327137,0.032530434
1050,2438,20,35,32,35,35,13,9,28,-0.94820958,0.086079076,0.097072423,0.07227616,0.24412856,0.040299907,0.17244612,0.004686036
1053,1593,45,88,53,23,63,28,1,78,-0.1535483,0.23493975,0.13,0.05559906,0.34717786,0.069026552,0.24247788,0
1054,2001,9,22,39,19,3,5,8,18,-1.3689537,0.065467268,0.10796461,0.050000001,0.22629696,0.009138381,0.11357702,0.003916449
1056,21291,44,35,44,79,57,35,13,42,-0.18031676,0.086615324,0.11566307,0.17369618,0.26871291,0.062208202,0.27091482,0.006687697
1057,8824,15,20,16,33,8,14,30,16,-1.1295162,0.06213085,0.072886296,0.07026194,0.22116219,0.016165627,0.17555304,0.01361316
1060,15948,61,64,58,29,88,89,25,60,0.31349638,0.14539269,0.13887922,0.063246056,0.30166537,0.13865161,0.58831602,0.011744967
1062,10364,31,49,42,28,59,29,7,49,-0.5922147,0.11210406,0.11219148,0.062572569,0.28123546,0.063773677,0.24718294,0.00359626
1063,611,1,1,1,1,1,1,1,97,-1.9854703,0,0,0,0.46481177,0,0,0
1066,31,,1,1,100,1,1,1,1,,0,0,1,0,0,0,0
1068,1833,6,10,11,15,28,1,1,41,-1.5098593,0.044286497,0.063314714,0.042428676,0.26615384,0.034883723,0.049418606,0
